,Title,Popularity,Drama,Comedy,Thriller,Action,Romance,Adventure,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,Music,War,Documentary,Western,Foreign,Quirky,Cerebral,Fast-Paced,Epic,Historical,Heartwarming,Creative,Independent,Tense,Realistic,Funny,New Release,Critically Acclaimed
0,Avatar,150,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-1.0,1.0,3.0,6.0,-5.0,-1.0,1.0,-2.0,1.0,-2.0,0.0,0.0,0.0
1,Pirates of the Caribbean: At World's End,139,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,0.0,2.0,0.0,1.0,0.25,-2.0,0.0,-1.25,0.0,0.0,0.0
2,Spectre,107,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,2.0,0.0
3,The Dark Knight Rises,112,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,4.0,3.0,-3.0,0.0,-1.0,-2.0,1.0,-0.75,0.0,1.0,1.5
4,John Carter,43,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,2.0,3.0,-3.0,-1.0,1.0,-2.0,2.0,-3.0,0.0,1.0,0.0
5,Spider-Man 3,115,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,5.0,4.0,-3.0,0.0,0.0,-3.0,1.0,-2.0,0.0,0.0,0.0
6,Tangled,48,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,-1.0,2.0,-2.0,1.0,2.0,-2.0,1.0,-2.0,0.0,1.0,0.0
7,Avengers: Age of Ultron,134,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,6.25,4.0,-3.0,0.0,0.0,-4.0,-1.0,-5.0,1.0,2.0,-1.0
8,Harry Potter and the Half-Blood Prince,98,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,1.0,-3.0,0.0,0.0,0.0
9,Batman v Superman: Dawn of Justice,155,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,5.0,3.0,-3.0,-1.0,0.0,-3.0,0.0,-3.0,1.0,2.0,-1.0
10,Superman Returns,57,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,5.0,5.0,-3.0,0.0,0.0,-4.0,-1.0,-4.0,1.0,0.0,-1.0
11,Quantum of Solace,107,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
12,Pirates of the Caribbean: Dead Man's Chest,145,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,1.0,2.0,0.0,0.0,0.25,-2.0,3.0,-2.25,0.0,0.0,0.0
13,The Lone Ranger,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.0,1.0,1.0,0.0,0.0,0.25,-2.0,1.0,-0.25,0.0,1.0,0.0
14,Man of Steel,99,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,5.0,4.0,-3.0,0.0,0.0,-3.0,-1.0,-4.0,1.0,1.0,-1.0
15,The Chronicles of Narnia: Prince Caspian,53,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.25,0.0,0.0,0.0
16,The Avengers,144,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,6.25,3.0,-3.0,0.0,0.0,-3.0,-1.0,-5.0,1.0,1.0,-1.0
17,Pirates of the Caribbean: On Stranger Tides,135,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,2.0,4.0,1.0,0.0,0.25,-2.0,0.0,-1.25,0.0,1.0,0.0
18,Men in Black 3,52,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,2.0,3.0,-2.0,-1.0,1.0,-2.0,1.0,-4.0,0.5,1.0,-0.25
19,The Hobbit: The Battle of the Five Armies,120,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0
20,The Amazing Spider-Man,89,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0
21,Robin Hood,37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
22,The Hobbit: The Desolation of Smaug,94,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0
23,The Golden Compass,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
24,King Kong,61,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,2.0,-1.0,0.25,0.0,-0.25
25,Titanic,100,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,-2.0,0.0,-1.0,0.0,0.0,1.0
26,Captain America: Civil War,198,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,7.0,5.0,-2.0,0.0,0.0,-4.0,-1.0,-5.0,1.25,2.0,-1.0
27,Battleship,64,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.25,0.0,1.0,0.0
28,Jurassic World,200,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,4.0,1.0,0.0,-1.0,0.0,-2.0,5.0,0.0,0.0,2.0,0.0
29,Skyfall,93,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
30,Spider-Man 2,35,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,4.0,4.0,-3.0,1.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0
31,Iron Man 3,77,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,7.0,3.0,-3.0,0.0,-1.0,-3.0,0.0,-4.0,1.0,1.0,-1.0
32,Alice in Wonderland,78,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.5,0.0,0.0,1.0,0.0,0.0,0.25,-2.0,0.0,-0.75,0.0,1.0,0.0
33,X-Men: The Last Stand,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,-3.0,-1.0,-3.0,1.0,0.0,-1.0
34,Monsters University,89,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-2.0,2.0,0.0,0.75,1.0,-0.25
35,Transformers: Revenge of the Fallen,21,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
36,Transformers: Age of Extinction,116,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2.0,-0.5,1.5,4.0,-3.0,-1.0,1.0,-3.0,1.0,-3.0,0.0,2.0,0.0
37,Oz: The Great and Powerful,46,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,1.0,-3.0,0.0,1.0,0.0
